"ГКУСО ""Курский СРЦН ""Надежда""",станица Курская,Курский,2612017533,1022600823960
Администрация МО Сенгилеевского сельсовета,село Сенгилеевское,Шпаковский,2623009125,1022603023299
ГБПОУ НИК,Невинномысск,Невинномысск,2631003254,1022603626968
"МКУДО ""Спицевская ДЮСШ""",село  Спицевка,Грачевский ,2606008354,1032601682970
МКОУ СОШ № 2 село  Бешпагир,село Бешпагир,Грачевский ,2606008153,1032601681001
МКДОУ Детский сад 2,село Бешпагир,Грачевский ,2606007618,1022603023915
МКДОУ Детский сад 12,село  Старомарьевка,Грачевский ,2606007784,1022603028568
МКОУ СОШ 8 с Тугулук,село  Тугулук,Грачевский ,2606008202,1032601681200
"МКУДО ""Грачевская ДЮСШ""",село Грачевка,Грачевский ,2606008121,1022603031142
МКДОУ Детский сад 6,село Грачевка,Грачевский ,2606007833,1022603026390
МКДОУ Детский сад 5,село Грачевка,Грачевский ,2606007752,1022603024730
Отдел образования администрации Грачевского МР,село Грачевка,Грачевский ,2603000676,1052600610688
МКДОУ Детский сад 4,село Грачевка,Грачевский ,2606007801,1022603027215
МКОУ СОШ 10 х. Октябрь,хутор Октябрь,Грачевский ,2606008347,1032601682057
МКДОУ Детский сад 11,село  Спицевка,Грачевский ,2606007706,1022603022353
МКОУ СОШ 1 с Грачевка,село Грачевка,Грачевский ,2606008160,1032601681067
МКДОУ Детский сад 1,хутор Базовый,Грачевский ,2606007720,1022603022397
МКОУ СОШ 6 с Спицевка,село  Спицевка,Грачевский ,2606008210,1032601681177
МКОУ СОШ 9 п Верхняя Кугульта,поселок Верхняя Кугульта,Грачевский ,2606008227,1032601681155
МКДОУ СОШ 7 с Старомарьевка,село  Старомарьевка,Грачевский ,2606008234,1032601681133
МКДОУ Детский сад 9,поселок Новоспицевский,Грачевский ,2606007760,1022603022364
МКОУ Детский сад 3,поселок Верхняя Кугульта,Грачевский ,2606007640,1022603026005
МКДОУ Детский сад 8,село  Кугульта,Грачевский ,2606007819,1022603026016
МКДОУ Детский сад 14,поселок Ямки,Грачевский ,2606007745,1022603027204
"МКУ ДО ""РСЮТ""",село  Старомарьевка,Грачевский ,2606006928,1022603024366
МКОУ СОШ 3 с Кугульта,село  Кугульта,Грачевский ,2606008192,1032601681221
МКОУ СОШ 4 с Красное,село  Красное,Грачевский ,2606008185,1032601681023
МКОУ СОШ № 5 село  Сергиевское,село  Сергиевское,Грачевский ,2606008259,1032601681474
МКДОУ Детский сад 10,село  Сергиевское,Грачевский ,2606007791,1022603031330
МКДОУ Детский сад 7,село  Красное,Грачевский ,2606007738,1022603028678
МКУ ЦООО,село Грачевка,Грачевский ,2606800030,1100265104598
ГБПОУ ПТТТиС,Пятигорск,Пятигорск,2632023775,1022601621536
АКМР СК,село  Кочубеевское,Кочубеевский,2610016855,1042600816972
Администрация Грачевского муниципального района Ставропольского края,село Грачевка,Грачевский ,2606000563,1042600631094
Администрация муниципального образования Подкумского сельсовета Предгорного района Ставропольского края,поселок Подкумок,Предгорный ,2618013292,1022600965001
"ГБУК СК ""Андроповский районный краеведческий музей""",село  Курсавка,Андроповский ,2603000533,1022603626781
ГБПОУ СК СКМК им. САФОНОВА,Минеральные Воды,Минераловодский ,2630019928,1022601452279
"ГАУЗ СК ""КБЛ""",Георгиевск,Георгиевский,2625013769,1022601166378
"МКУ ""ССП""",Пятигорск,Пятигорск,2632062478,1022601624231
"МБУ ""Учетный центр""",Железноводск,Железноводск,2627801331,1132651020490
МКОУ СОШ № 1,Нефтекумск,Нефтекумский,2614015644,1022600872711
МКОУ СОШ № 2,Нефтекумск,Нефтекумский,2614015556,1022600872579
УСХ И ООС АНГО СК,Нефтекумск,Нефтекумский,2614021623,1172651028483
"ГКС (К) ОУ ""Дошкольный детский дом №9""",Ставрополь,Ставрополь,2634045710,1022601985614
Горьковский территориальный отдел администрации Новоалександровского городского округа,поселок Горьковский,Новоалександровский,2615016295,1172651025040
"ГКУ ""ЦЗН Арзгирского района""",село Арзгир,Арзгирский,2604004940,1022603225358
"МБДОУ № 8 ""АЛЕНЬКИЙ ЦВЕТОЧЕК""",Лермонтов,Лермонтов,2629007822,1022603423700
МБОУ СОШ № 4,Лермонтов,Лермонтов,2629007967,1022603425063
"МБДОУ ЦРР Д/С № 11 ""МАЛЫШ""",Лермонтов,Лермонтов,2629007780,1022603424293
"МБДОУ № 13 ""РОДНИЧОК""",Лермонтов,Лермонтов,2629004807,1022603426075
"МБДОУ Д/С № 2 ""КРАСНАЯ ШАПОЧКА""",Лермонтов,Лермонтов,2629008015,1022603424271
МКУ ЦОСО,Лермонтов,Лермонтов,2629800090,1112651007556
МБОУ СОШ № 1,Лермонтов,Лермонтов,2629007893,1022603425052
Администрация муниципального образования села Правокумского Левокумского района Ставропольского края,село  Правокумское,Левокумский,2613007337,1022603227085
"ЦЕНТР ТВОРЧЕСТВА ""РАДУГА""",Лермонтов,Лермонтов,2629005053,1022603424348
Администрация города Невинномысска,Невинномысск,Невинномысск,2631003110,1022603624845
МКОУ СОШ № 12 село  Бурукшун,село Бурукшун,Ипатовский,2608008166,1022602621755
АДМИНИСТРАЦИЯ ВАСИЛЬЕВСКОГО СЕЛЬСОВЕТА,хутор Васильевский,Кочубеевский,2610009664,1022600767177
"МБДОУ ЦРР Д/С № 14 ""ЁЛОЧКА""",Лермонтов,Лермонтов,2629003994,1022603422588
Администрация муниципального обазования Цимлянского сельсовета Шпаковского района Ставропольского кр,поселок Цимлянский,Шпаковский,2623005723,1022603029635
МБОУ СОШ № 2,Лермонтов,Лермонтов,2629007773,1022603424447
"МДОУ ДЕТСКИЙ САД № 15 ""СКАЗКА""",Лермонтов,Лермонтов,2629008008,1022603424304
"МБДОУ № 1 ""Солнышко""",Лермонтов,Лермонтов,2629011681,1152651003966
"МБДОУ ЦРР № 7 ""ЗВЕЗДОЧКА""",Лермонтов,Лермонтов,2629007847,1022603424282
"МБОУ ""СОШ № 13""",село Надежда,Шпаковский,2623012015,1022603022485
"МБДОУ ""Детский сад №22""",село Надежда,Шпаковский,2623026699,1162651050385
Управление по делам территорий АНГО СК,Нефтекумск,Нефтекумский,2614021609,1172651028318
Администрация Мищенского сельсовета,хутор Мищенский,Кочубеевский,2610013678,1022600767771
Администрация Благодарненского городского округа Ставропольского края,Благодарный,Благодарненский,2605016659,1172651027493
Администрация МО п. Затеречный,поселок Затеречный,Нефтекумский,2614015669,1022600873646
ГКОУ школа-интернат № 12,село Юца,Предгорный ,2618010799,1032600260934
